"","texts","dates","titles"
"32","
                    
                        £500,000 more for victims’ organisations.
                    

Organisations supporting victims and survivors of crime in Scotland will receive a £500,000 boost from a fund that takes money from offenders.
Seven organisations – including Victim Support Scotland and Survivors of Human Trafficking in Scotland – will share grant funding to provide practical help directly to victims.
This includes paying for emergency housing costs, meeting food, utility and clothing expenses, and helping with costs to repair or replace damaged property or goods and for mental health services such as counselling. 
It is the third tranche of payments from the Victim Surcharge Fund – which comes from the additional penalties imposed on offenders who receive a court fine – since its introduction in 2019.
To date, the Fund has helped more than 1,200 people affected by crime, with around £917,000 awarded  – a clear sign of how the Scottish Government continues to prioritise victims.
Justice Secretary Keith Brown said: “It is absolutely right that criminals should pay towards helping victims of crime as they recover from their experience.
“Over the past five years we have invested £93 million through our justice budget to put victims' rights and needs at the centre of the criminal justice system, demonstrating our commitment to putting victims first.
“This latest funding we are awarding from the Victim Surcharge Fund will help people impacted by crime to access support when they need it most while enabling organisations such as Victim Support Scotland and Survivors of Human Trafficking in Scotland to provide even more help to victims and their families.”
Kate Wallace, CEO of Victim Support Scotland (VSS) said: “Confirmation of this funding means that VSS can continue this vital and life-changing support to people affected by crime and who have no other means of financial support.”
“The cost-of-living crisis has meant that more people affected by crime are struggling to make ends meet. Funding from the Victim Surcharge Fund allows VSS to provide essential items such as food vouchers, property repairs, alarms and funeral costs, thereby meeting the needs of vulnerable victims immediately following a crime.
“Since April 2020, VSS Emergency Assistance Fund has provided £903,000 worth of goods to 3,143 people and their families, funded in part through the Victim Surcharge Fund. We accept applications directly from people affected by crime and have received referrals from over 200 support organisations.”
Background
The following organisations are set to benefit from the Victim Surcharge Fund in 2023
Victim Support Scotland (VSS) – £440,000
Edinburgh Women’s Aid – £25,559
Survivors of Human Trafficking in Scotland (SOHTIS) - £7,700
Central Advocacy Partners – £5,000
Women's Rape and Sexual Abuse Centre Dundee & Angus – £10,000
Dumbarton District Women’s Aid – £10,000
Manda Centre – £5,000
",2023-02-22,"Supporting victims of crime"
"33","
                    
                        New annual Winter Heating Payment begins
                    

Help with heating costs is on its way to around 400,000 people on low incomes through a new Scottish Government benefit, with the first payments processed this week.
More than £20m will be paid out over the course of February and March in Winter Heating Payments.
Winter Heating Payment replaces the Department for Work and Pensions’ (DWP) Cold Weather Payment. Unlike the DWP benefit it replaces, Winter Heating Payment is not paid only to people when there is a sustained period of cold weather in a specific location, but is a reliable annual £50 payment.
Those eligible for Winter Heating Payment will receive it automatically, with no need to apply. It is paid through Social Security Scotland and people will get a letter to let them know they are eligible.
Minister for Social Security Scotland Ben Macpherson said:
“Our new Winter Heating Payment is the thirteenth Scottish Government benefit. This year it will provide 400,000 people most in need with a reliable, automatic £50 payment to help towards their heating costs.
“The Payment will reach significantly more people than the benefit it has replaced. On average only 185,000 people received the equivalent Cold Weather Payments from the UK Government over the last seven years - whereas we will pay everyone eligible every year.
""The Scottish Government is investing around £20 million per year compared with an average of £8.3 million annually paid out through Cold Weather Payment. We will also uprate the next Winter Heating Payment by 10.1%, to £55.05.”            ",2023-02-22,"£20m to help 400,000 people with heating costs"
"34","
                    
                        Extra funding to help offset UK Government benefit cap.
                    

The Scottish Government is providing £8.6 million in direct support for people affected by the UK benefit cap as part of its work to tackle child poverty.
An estimated 4,000 families with around 14,000 children are now able to apply for extra financial support through their local council’s Discretionary Housing Payments scheme.
Social Justice Secretary Shona Robison said:
“We are increasing funding to help bridge the gap between what people need in benefits from the UK Government and what they actually receive. Eligible households could be £2,500 better off on average per year as a result.“We will spend up to £84 million in 2023-24 on Discretionary Housing Payments to mitigate not only the UK Government’s bedroom tax and the on-going freeze to Local Housing Allowance rates, but now also the benefit cap which is pushing families into hardship.“Our child poverty targets are ambitious and that is why we are choosing to invest significantly more in social security than the funding we receive from Westminster and helping to mitigate the damaging impact of UK Government welfare cuts.”John Dickie, Chair of the Child Poverty Action Group, said:“Mitigating the UK benefit cap is absolutely the right thing to do. Support for struggling families shouldn’t have an arbitrary limit that pushes children into deeper poverty.“It’s now vital that everyone affected by the benefit cap applies to their local authority for a Discretionary Housing Payment to replace as far as possible the cash support removed by the cap. The Scottish Government has done the right thing, now the UK Government must act to scrap the cap altogether.”Laura Millar, Strategic Manager at charity Fife Gingerbread, which helps lone parents and families in need, said:“Last year Fife Gingerbread supported the ‘Scrap the Cap’ campaign calling on Westminster to end the benefit cap and the financial hardship this causes. Therefore, the Scottish Government’s commitment to empower local authorities to mitigate the impacts of the benefit cap using Discretionary Housing Payments is a positive step.“Although the number of households affected across Scotland may be relatively small this is an important measure. The greatest risk is that households may be unaware of their entitlement, and every year millions of pounds of benefits go unclaimed. Therefore, we must all raise awareness of this announcement to ensure those most in need of support receive it.”BackgroundFunding for benefit cap mitigation by Scottish local authorities through Discretionary Housing Payments is as follows:

2022-23


£2.6 million


2023-24


£6 million


Total


£8.6 million

The benefit cap is a UK Government policy which limits the total amount of benefit that most working age people can receive, even if their full entitlement would be higher.
Discretionary Housing Payments are administered by Local Authorities to support with housing and living costs. Further information about support available for people during the cost of living crisis can be found at gov.scot/costoflivingsupport.            ",2023-02-20,"Helping families with their living costs"
"35","
                    
                        Final stage of 2023-24 Budget Bill.
                    

A Scottish Budget which goes further to support the vulnerable and deliver greater benefits than provided in the rest of the UK will be voted on in Parliament.
Ahead of Tuesday’s final debate and vote on the 2023-24 Scottish Budget Bill, Deputy First Minister John Swinney has set out the “social contract with every citizen of Scotland” – supporting people through the cost of living crisis with the groundbreaking Scottish Child Payment, the expansion of free school meals and free bus travel to more than two million people.
Against a background of high inflation and the cost of living crisis, record funding of more than £19 billion is committed to the Health and Social Care portfolio – an increase of over £1 billion. Other measures include more than £350 million for the Council Tax Reduction Scheme which sees 370,000 households paying no council tax, and for business the lowest non-domestic rate poundage in the UK will mean more than 95% of properties are liable for a lower property tax rate than elsewhere.
Investing in Scotland’s future with more than £4.6 billion for the Net Zero, Energy and Transport Portfolio, the Budget also includes £467 million to protect the natural environment.
Mr Swinney said:
“This Budget strengthens our social contract with every citizen of Scotland who will continue to enjoy many benefits not available throughout the UK.
“In one of the most challenging budgets since devolution, we are prioritising our limited resources to protect public services, invest in the transition to Net Zero and take decisive steps to eradicate child poverty in Scotland.
“Supporting people most in need in these difficult times is the foundation of this Budget. As a Government we are doing all we can to support people and families.
“We have chosen a distinctive, more progressive path where people are asked to pay their fair share to create the fairer society in which we all want to live. Progressive choices on Scottish Income Tax mean that next year this Government will deliver record funding of more than £19 billion for health and social care.
“While none of us should underestimate the scale of the ongoing financial challenges, I am confident that this Budget package offers stability and certainty for Scotland.”
Background
Read the Scottish Budget 2023-24 .            ",2023-02-19,"A social contract with Scotland"
"36","
                    
                        Supporting parents with cost of living.
                    

A quarter of a million Baby Boxes have been delivered to expectant parents – providing them with more than £400 worth of essential items for their newborn.
The milestone was reached ahead of the popular scheme’s sixth anniversary in the summer.
Children’s Minister Clare Haughey said:
“The Baby Box is part of our commitment to ensure every child has the best start in life, and I am heartened that so many families have benefitted from this fantastic scheme.
“Clearly household budgets remain under extreme pressure from the cost of living crisis, so it is reassuring to know that all expectant parents in Scotland, regardless of their circumstances, have access to essential items needed for the first six months of their newborn’s life.
""The Baby Box also contains items to support positive parenting, benefitting infants as well as parents.”
One Parent Families Scotland Chief Executive Satwat Rehman said:
“With rising costs, single parent households are under increasing pressure to meet the costs of looking after their children. Having just one income, with costs associated with a newborn, is very difficult and the essentials contained within the Baby Box go a long way to easing that for single parents. We have seen first-hand how much difference this has made to the families we work with.”
Background
Scotland’s Baby Box provides families with a range of essential items for the first six months of their baby’s life, delivered in a sturdy cardboard box which can be used as a safe sleeping space during the early months. The contents of the box are designed to inform and support positive parenting behaviours.
APS Group (Scotland), which has the managing agent contract for Scotland’s Baby Box, conducted a cost analysis which determined that if parents were to buy the box and all the contents individually, the cost would be approximately £429.
In an independent evaluation, 97% of parents who took part in research rated the box and its contents as good.
Scotland’s Baby Box has been showcased on the world stage in exhibitions in Philadelphia, Boston and Seattle.            ",2023-02-18,"250,000 Baby Boxes delivered"
"37","
                    
                        Parents urged to seek help with employment.
                    

A new campaign will encourage families living on a low income to access local support with finances and work.
It encourages people to take the first step towards relieving these pressures with help from the Parent Club website. This can guide them towards tailored support to help them improve their situation by starting work after unemployment, returning to work or improving earnings.
The campaign which includes TV, radio and online advertising, highlights the pressures of everyday life and shows parents feeling the ‘walls closing in’ on them as they juggle family life with bills and other costs.
Social Justice Secretary Shona Robison said: 
“We understand the anxiety and stress, that low-income families could be living with and the impact of the cost-of-living crisis is likely to be making even worse.
“Parent Club can guide people to free and confidential tailored advice from local authority employment services, where they can access support relevant to their own work and family situation.
“It also offers information on how to get help from the Money Talk Team who can advise on areas such as maximising income and dealing with debt. Parent Club also provides sources of support with mental health and stress. 
“Tackling child poverty is our national mission. We want to make sure parents know what help is out there and claim any support they should be getting.” 
Chair of Dundee’s Discover Work Partnership Simon Hewitt said:
“Parental Employment Support empowers parents to progress towards new or improved employment.  The support is delivered in Dundee by ENABLE Works, Barnardo’s, One Parent Families Scotland and Volunteering Matters, with each organisation bringing their own specialist knowledge and experience.
“Parents can access a variety of support including financial and benefit advice, childcare options, careers guidance, work placements, training and upskill funds, and on-going support from a trained mentor.  Support can also be provided to employers to discuss and agree family friendly approaches. 
“Dundee’s Parental Employment Support is part of our wider Discover Work Service, which provides a range of employability support for all local customers.”
Citizens Advice Scotland CEO Derek Mitchell said:
“When times are difficult it can be easy to feel overwhelmed by bills mounting up - but our advice is free, confidential, and impartial.
“The Citizens Advice network is working with the Scottish Government to deliver the Money Talk Team service. We can check to see what payments you might be missing out on or any cheaper deals are available to you. If you are struggling with debt we can help with that too.
“Don’t delay, you could be missing out on money that could make a huge difference to you and your family’s finances.”
Background
The campaign website Money & Work | Parent Club provides a one-stop route to help from local authority employability schemes. It also highlights help offered through Citizens Advice Scotland’s Money Talk Team, including support to ensure parents are claiming all the benefits and one-off payments they may be entitled to.
Best Start, Bright Futures: Tackling Child Poverty Delivery Plan 2022 to 2026 is the second tackling child poverty delivery plan and sets out how the Scottish Government and partners across Scotland plan to address poverty through increasing incomes from work and earnings, reducing household costs and maximising incomes from social security and benefits.               ",2023-02-18,"Help available to boost family incomes"
"38","
                    
                        £568 million for Agenda for Change (AfC) pay deal in 2023/24.
                    

Healthcare staff across Scotland have been offered the largest pay package in the history of the NHS, with a £568 million increase in investment.
160,000 NHS Agenda for Change staff – including nurses, midwives, paramedics, allied health professionals, porters and others – will be offered an average 6.5% increase in pay in 2023/24.
This pay offer includes the commitment to deliver the most progressive package of terms and conditions reform in decades. 
The offer also includes the commitment to modernising Agenda for Change, which was introduced nearly 20 years ago, to support workforce recruitment, sustainability and retention.
Health Secretary Humza Yousaf said: 
“We have engaged extensively with trade union representatives over recent weeks, leaving no stone unturned to reach an offer which responds to the key concerns of staff. Our healthcare staff have shown how dedicated and hardworking they are time and again and I cannot thank them enough for their commitment, particularly over the last few challenging years.
“Over the two years of this £1 billion of increased investment in NHS Agenda for Change, a newly qualified nurse would see their pay increase by 15.8%, and experienced nurses at the top of band 5 would see their pay improve by over £4,700.
“This ensures that Scotland’s NHS Agenda for Change staff are, by far and away, the best paid anywhere in the UK. In fact, for NHS England to catch-up with Scotland the UK Government would need to offer increases in 2023/24 of over 14% at the top of band 5, over 13% at the top of band 6, and over 12% at the top of band 7.
“We have taken difficult decisions to find this money within the health budget because we know that our staff are the very backbone of the NHS and we are committed to supporting them, particularly during a cost of living crisis. I am grateful for the continued efforts around the table and that the trade unions will now put this to their members.""
BACKGROUND
A total of £568 million has been committed for Agenda for Change pay in 2023/24. This equates to an average uplift of at least 6.5% for all staff at Band 8a and below.
All staff will also receive a one-off pro rata payment of between £387 and £939 depending on banding.
The offer also reaffirms previous commitments to work to reduce the working week, protect learning time and review band 5 job nursing profiles.
Examples of increases over the 2 years (2022/23 and 2023/24):
experienced porters (band 2) receive more than £3,750 extra (19.1%)
experienced healthcare support workers (band 4) receive more than £4,000 extra. experienced AHPs (band 5) receive more than £4,700 extra (14.4%)
experience paramedics (band 6) receive more than £5,360 extra (13.2%)
experienced advance nurse practitioners (band 7) receive more than £5,900 extra (12.4%)
The revised pay scales are set out below:

Band 

 

2021/22


2022/23 


2023/24 Offer 

 

2023/24 £ Uplift


2023/24 % Uplift


Consolidated increase over 2 years 

 

One-off Payment 


1


1


£19,487


£21,692


£23,240

 

£1,548


7.1%


£3,753


19.3%

 

£387 


2


1


£19,609


£21,814


£23,362

 

£1,548


7.1%


£3,753


19.1%

 

£387 

 

2


£21,615


£23,820


£25,368

 

£1,548


6.5%


£3,753


17.4%

 

£387 


3


1


£21,709


£23,914


£25,468

 

£1,554


6.5%


£3,759


17.3%

 

£389 

 

2


£23,603


£25,808


£27,486

 

£1,678


6.5%


£3,883


16.5%

 

£420 


4


1


£23,709


£25,914


£27,598

 

£1,684


6.5%


£3,889


16.4%

 

£421 

 

2


£25,982


£28,187


£30,019

 

£1,832


6.5%


£4,037


15.5%

 

£458 


5


1


£26,104


£28,384


£30,229

 

£1,845


6.5%


£4,125


15.8%

 

£461 

 

2


£28,049


£30,329


£32,300

 

£1,971


6.5%


£4,251


15.2%

 

£493 

 

3


£32,915


£35,365


£37,664

 

£2,299


6.5%


£4,749


14.4%

 

£575 


6


1


£33,072


£35,522


£37,831

 

£2,309


6.5%


£4,759


14.4%

 

£577 

 

2


£34,637


£37,087


£39,498

 

£2,411


6.5%


£4,861


14.0%

 

£603 

 

3


£40,739


£43,286


£46,100

 

£2,814


6.5%


£5,361


13.2%

 

£703 


7


1


£40,872


£43,422


£46,244

 

£2,822


6.5%


£5,372


13.1%

 

£706 

 

2


£42,530


£45,080


£48,010

 

£2,930


6.5%


£5,480


12.9%

 

£733 

 

3


£47,846


£50,506


£53,789

 

£3,283


6.5%


£5,943


12.4%

 

£821 


8a


1


£50,965


£53,513


£56,992

 

£3,479


6.5%


£6,027


11.8%

 

£870 

 

2


£55,016


£57,767


£61,522

 

£3,755


6.5%


£6,506


11.8%

 

£939 


8b


1


£61,325


£63,530


£67,285

 

£3,755


5.9%


£5,960


9.7%

 

£939 

 

2


£66,018


£68,223


£71,978

 

£3,755


5.5%


£5,960


9.0%

 

£939 


8c


1


£73,506


£75,711


£79,466

 

£3,755


5.0%


£5,960


8.1%

 

£939 

 

2


£79,221


£81,426


£85,181

 

£3,755


4.6%


£5,960


7.5%

 

£939 


8d


1


£88,385


£90,590


£94,345

 

£3,755


4.1%


£5,960


6.7%

 

£939 

 

2


£92,424


£94,629


£98,384

 

£3,755


4.0%


£5,960


6.4%

 

£939 


9


1


£105,635


£107,840


£111,595

 

£3,755


3.5%


£5,960


5.6%

 

£939 

 

2


£110,468


£112,673


£116,428

 

£3,755


3.3%


£5,960


5.4%

 

£939 

",2023-02-17,"Record Pay offer to NHS AfC staff"
"39","
                    
                        £27 million to tackle disadvantage.
                    

Community projects tackling poverty and disadvantage will receive £27 million funding over the next three years.
Food pantries which help lower food bills and cost of living advice services are among the 100 initiatives developed by local people set to receive grants from the Investing in Communities Fund.
Each supported project is delivering multiple activities, including:
debt and benefit advice to avoid electricity and gas disconnection or eviction for rent arrears in South East Glasgow
a furniture reuse scheme in Inverness and a swap and repair shop in West Lothian
community food growing in South West Glasgow
school uniform exchanges and supporting parents into employment in South Lanarkshire
help for mothers establishing micro businesses in South West Edinburgh
training for jobseekers and counselling to address mental health and substance abuse issues in the Borders
Community Wealth Minister Tom Arthur said:
“This fund will help directly address issues facing disadvantaged communities, such as unemployment and food insecurity.
“We have been clear that the Scottish Budget is prioritising our limited resources to tackle child poverty, invest in our transition to net zero, and protect public services. And the projects supported through Investing in Communities speak to these priorities.
“Many will help ease immediate challenges from the cost of living crisis but also support communities in delivering longer term plans to address poverty.”
Background
Investing in Communities
The full list of projects recommended for support is attached.
The Investing in Communities Fund recognises increased pressure on community organisations from the combined effects of Coronavirus (COVID-19) and the cost of living crisis. It will be supported in the Scottish Budget 2023-24 and prioritised for funding during subsequent years.            ",2023-02-16,"Investing in Communities"
"40","
                    
                        Natural Beauty, Tourism and Governance score highly in new survey.
                    

Scotland has achieved its highest ever reported score in an international survey which asks 60,000 adults from 20 countries what their perceptions are of 60 nations.
The Nation Brands Index (NBI) 2022 survey scores and ranks countries across six dimensions including Culture, Tourism, Governance, Immigration and Investment, Exports, and People.
Scotland’s overall score has jumped to 65.3 out of 100, compared to 62.6 out of 100 in 2020, which is the highest score the Scottish Government has reported since first subscribing to the survey in 2008.
Scotland’s natural beauty was ranked 7th out of 60, while Tourism ranked 12th out of 60. Tourism also scored the highest, jumping from 68.7 out of 100 in 2020 to 72.3 in 2022.  Compared to participating countries, Scotland ranked highly in key areas including ranking 9th for welcoming people, 10th for international peace and security and historic buildings and monuments.
The scoring and ranking of overall Governance has also improved, increasing from 62.9 in 2020 to 64.9 in 2022 and from 13th to 11th place.
Culture Secretary Angus Robertson said:
“Scotland is blessed with natural beauty, vibrant cities, rich historical sites, white sand beaches and rolling hills, and it is great to see everything we have to offer being recognised by citizens from across the world. It is also encouraging to see that governance in Scotland has also scored well internationally which might be due to international interest in forward thinking and outward looking Scottish Government policies such as the baby box, free period products and our ambitious work to help tackle climate change
“Despite Scotland’s score improving to its highest since we first subscribed to the survey, we will continue to look at ways we can make things better for the people who live here. It’s been challenging in recent years with the impacts still being suffered from Brexit, the ongoing pandemic and the current cost of living crisis. The survey shows some areas that we can work on and the Scottish Government will leave no stone unturned in doing so.”
Background
The survey was conducted by Anholt-Ipsos polling between 5 July and 11 August 2022.
Twenty panel countries were selected for the survey of the 2022 Nation Brands Index study, representing major developed and developing countries that play important and diverse roles in international relations, trade and the flow of business, and cultural and tourism activities.
Anholt-Ipsos Nation Brands Index survey            ",2023-02-10,"Scotland’s international reputation grows"
"41","
                    
                        Funding will help tackle social impact of rising cost of living.
                    

Projects supporting people most at risk of social isolation and loneliness will receive a share of almost £1 million support funding announced today.
The money will help to provide warm spaces, hot meals, group activities and fuel payments to people most at risk of isolation including older people, young parents, carers and disabled people.
Organisations to receive grants/funds include Age Scotland, who will continue to deliver their ‘Keeping The Doors Open’ grants programme, and Chest, Heart and Stroke Scotland who are recruiting Urdu and Punjabi-speaking volunteers to make Kindness Calls.
Equalities and Older People’s Minister Christina McKelvie said:
“Social isolation and loneliness can affect anyone, especially at this time of year when people can struggle to get outside and socialise. The pandemic and the cost of living crisis have increased isolation for some people, including young people, carers and disabled people.
“The funding will be a lifeline for a range of organisations who are helping to keep people connected during this challenging time.
“This fund is just one of the many crucial steps that we are taking to tackle social isolation and loneliness as part of our plan, A Connected Scotland.”
Chest, Heart & Stroke Scotland’s Chief Executive Jane-Claire Judson said:
“We know that living with a disability or long-term condition can be hugely isolating and that for those who are unable to read or communicate fluently in English, this isolation can be even more significant.
“This funding from the Scottish Government will greatly enhance the ability of our support services to reach non-English speaking and minority ethnic populations in Scotland to reduce isolation and loneliness.
“Ultimately, it will allow us to engage with and support more people across Scotland who are living with chest, heart and stroke conditions, better enabling them to live their lives to the full.”
Chief Executive of Age Scotland Mark O’Donnell said
“Older people’s groups have an incredibly important role in communities across Scotland, supporting health and wellbeing, physical activity, tackling loneliness and food insecurity. Our research has identified that around 200,000 over-65s rely on groups like this but the impact of Covid-19 and spiralling inflation has meant that these lifelines have been facing incredible pressures to keeping their doors open. We’re incredibly grateful that the Scottish Government took notice of our research and our ask of greater financial support for older people’s groups.
“The funding will help many such groups and clubs meet the rising cost of energy bills, food, transport and venues to meet, ensuring that their members can stay connected and are able to be as well as they can be.”
Background
18 projects and organisations will receive a share of £971,019. They are:
Age Scotland
Befriending Networks
British Red Cross
Chest, Heart and Stroke Scotland
Glasgow Disability Allowance
Home-Start Scotland
Youthlink Scotland
Cosgrove Care and Jewish Care Scotland
Faith in Community Dundee
Glasgow Central Mosque Foodbank
Safe Families
Bethany Christian Trust
Christians Against Poverty
Scottish Ahlul Bayt Society
Sikhs in Scotland
Church of Scotland
Edinburgh City Mission
Glasgow City Mission
A Connected Scotland: our strategy for tackling social isolation and loneliness and building stronger social connections            ",2023-02-03,"Tackling social isolation and loneliness"
"42","
                    
                        Non-Domestic Rates legislation.
                    

New draft legislation on non-domestic rates (NDR) aims to tackle tax avoidance and promote the Scottish Government’s ground-breaking Deposit Return Scheme.
Regulations laid before the Scottish Parliament will empower councils to crack down on tax-avoidance such as the artificial use of insolvency, leasing arrangements or shell companies.
They would also make owners of non-domestic properties liable for payment, rather than the property’s occupiers, and allow for liability for payment to be backdated if an offence is repeated within a five-year period.
In a separate move, parts of properties solely used to house reverse vending machines, which refund users for recycling drinks containers, would be exempt from NDR. This will support businesses to get ready for Scotland’s Deposit Return scheme.
Further amendments to NDR, announced in the Scottish Budget 2023-24, will be published shortly as part of a package of regulations to provide more help for businesses through the current cost of living crisis.
Public Finance Minister Tom Arthur said:
“The Scottish Government is committed to a fair and transparent system of non-domestic rates which supports businesses and communities.
“It is important that everyone pays their share and these regulations will help tackle those who seek to find loopholes to avoid payment.
“We want to ensure that parts of properties used for reverse vending machines are not liable to pay rates. This will incentivise and promote Scotland’s Deposit Return Scheme which will launch on 16 August this year.
“Subject to the regulations passing in the Scottish Parliament, we will work to ensure Scotland’s non-domestic rates system remains progressive and in line with our net zero ambitions.”
Background
The Non-Domestic Rates (Miscellaneous Anti-Avoidance Measures) (Scotland) Regulations 2023 will deliver on a commitment in the Bute House Agreement to help local authorities tackle tax avoidance tactics, including when they make decisions on applying empty property relief and charity relief.
The Non-Domestic Rating (Valuation of Sites of Reverse Vending Machines) (Scotland) Regulations 2023 will ensure the part of a non-domestic property used solely in the provision or use of a reverse vending machine, is not liable for rates.
The Scottish Budget 2023-24 announced the lowest poundage in the UK for the fifth year in a row and a package of reliefs worth an estimated £744 million.
Draft regulations are laid in order to be considered by Parliament before they are signed into law. These new regulations should come into force in Scotland on 1 April 2023.
Scotland’s Deposit Return Scheme, the first of its kind in the UK, will launch on 16 August 2023. It will be a major part of the Scottish Government’s efforts to reduce littering and cut emissions by creating return points for recycling drinks containers. More information on operating a return point or applying for an exemption is available at circularityscotland.com            ",2023-02-02,"Tax support for businesses"
"43","
                    
                        Survey launched to understand international interests and aspirations.
                    

A public survey to help develop an International Culture Strategy for Scotland has been launched by the Culture Secretary.
The survey seeks views from cultural organisations, companies from across the creative industries and individuals who work internationally or have aspirations to do so. The strategy aims to develop an approach to international engagement that supports sectoral resilience, recovery and long term development.
The strategy will seek to draw on the knowledge, expertise and lived experience of cultural organisations and practitioners to understand the importance of international activity to their work and to the wider sector in Scotland.
The survey will be open for responses for three months and will form the basis of a report that will be published after a period of analysis.
Culture Secretary Angus Robertson said:
“Working in partnership with the sector, the Scottish Government is developing an International Culture Strategy that supports the international aspirations and potential of Scotland’s culture sector, building on its strong existing international footprint.
“The strategy will be set in the context of the challenges facing the sector following the impact of Brexit, the Covid pandemic and the cost of living crisis and ensure it helps address these challenges. That is why this survey is so important as once we begin to see themes emerging, we can engage further with the sector to explore these themes in more detail.
“Scotland’s cultural activity has a strong international reputation, which is important to our wider international presence. I hope as many people and organisations as possible engage with this survey to allow us to create a strategy that best supports the sector’s international activity and ambitions.”
Background
A Parliamentary question and answer to provide an update on the International Culture Strategy has been published online.
International Culture Strategy: Survey            ",2023-02-02,"Developing Scotland’s international cultural presence"
"44","
                    
                        Scottish Budget 2023-24 reaches Stage One vote.
                    

Deputy First Minister John Swinney is urging MSPs to back the Scottish Government’s Budget for 2023-24, as it “delivers for the people of Scotland”.
Speaking ahead of today’s Stage One Budget Bill debate, Mr Swinney said that in a difficult financial environment the Budget focused resources on the three key priorities of delivering sustainable public services, transforming the economy to deliver a just transition to net zero and taking direct action to eradicate child poverty.
It includes more than £13 billion for health and social care and £1 billion for early learning and childcare provision.
It also supports those hardest hit by the cost of living crisis, with £442 million invested in the unique Scottish Child Payment and £20 million for the Fuel Insecurity Fund to help households at risk of self-disconnection or self-rationing their energy use.
Mr Swinney said:
“These are fair and ambitious spending plans for the coming year which have been developed during one of the most challenging financial environments since devolution.
“To govern is to choose and we have chosen a different, distinctive path that commits substantial resources to protect the most vulnerable from the impact of decisions made by the UK Government.
“We are asking people to contribute to a fairer society that provides benefits such as free prescriptions, free access to higher education and concessionary travel not available in other parts of the UK.
“The progressive choices we propose on Scottish income tax also mean that next year the Scottish Government can direct additional investment towards our NHS. That investment will help drive forward our recovery plan, improve primary health care services and help reduce the harms associated with drugs and alcohol.
“At the same time, the majority of people in Scotland will still be paying less in Income Tax than if they lived in the rest of the UK. The Budget also delivers the number one ask of businesses by freezing the non-domestic rates poundage and providing a package of reliefs worth an estimated £744 million.
“Our spending plans will help ensure we can deliver a net zero future achieved through sustainable economic growth. We are investing £1.4 billion to maintain, improve and decarbonise Scotland’s rail network and almost £467 million on peatland restoration. And by doubling the budget for the next phase of the Just Transition Fund to £50 million, we are helping regional economies in the North East and Moray move away from the industries contributing to the climate emergency and diversify into others.
“This is a meaningful and progressive Budget that delivers for the people of Scotland. I urge all MSPs to unite behind it.”
Background
2023-24 Scottish Budget
The Scottish Budget 2023-24 is the Scottish Government’s second in partnership with the Scottish Green Party.            ",2023-02-02,"MSPs urged to support spending plans"
"45","
                    
                        550 disabled people supported to access Scottish social security benefits.
                    

A free independent advocacy service to support disabled people to access Scottish Government benefits has marked its first year in operation.
The Scottish Government is investing more than £20 million to deliver this service over the course of four years. This independent service is available to people with a disability who may need extra support. This could include people with a sensory disability, mental health condition or learning disability. The service is also available to parents or carers who need support to access benefits for a child.
The service, which was introduced in January 2022, enables disabled people to be more involved in the processes and decisions which affect them and advocates will provide the most appropriate form of support to each individual based on their circumstances.
Minister for Social Security Ben Macpherson said:
“I am delighted that, in its first year, the Independent Advocacy Service has supported over 550 people applying for Scottish Government social security benefits.
“The service is a key part of our human rights approach to social security and how the values of dignity, fairness and respect in our social security system work in practice.
“The service helping disabled people to access the financial support they are entitled to, and is delivering on our commitment to make our system as inclusive as possible.
“With the Scottish Government’s commitment to invest more than £20 million in it, the advocacy service will be able to assist even more disabled people access the help they are entitled to over the coming years.”
CEO of VoiceAbility, Jonathan Senker said:
“Over our first year of delivering the Independent Advocacy Service, people tell me that it enabled them to apply for social security benefits when before they felt daunted by the process. They say that advocates supported them to express themselves openly, when previously they felt obliged to ‘put on a brave face’ or underplay their needs.
“It’s vital that people can access the benefits to which they are entitled. I am proud of VoiceAbility’s skilled team of advocates, who are ready and available to support disabled people across Scotland. I encourage anyone who thinks an advocate could help them to access benefits to contact us. We’re here on the phone, online and in-person to make sure you’re heard when it matters.”
Background
The service was introduced in January 2022, ahead of a pilot for Adult Disability Payment – which replaces Personal Independence Payment (PIP) in Scotland. Adult Disability Payment was introduced across Scotland in August 2022.
The service is independent of the Scottish Government and is delivered by VoiceAbility, a charity with 40 years’ experience of delivering independent advocacy services.
The service provides free advocacy to anyone who self-identifies as disabled who requires support to engage effectively with Social Security Scotland.
Advocacy is available throughout the whole of the process for seeking support; from the point of application, through to any request for redetermination and appeals.
People can access this support by contacting VoiceAbility directly for free on 0300 303 1660 or by visiting voiceability.org
People can also access this support by calling Social Security Scotland for free on 0800 182 2222 and asking to be referred to the Independent Advocacy Service.            ",2023-01-26,"Independent Advocacy Service celebrates one year anniversary"
